taps,interp,operating_point,freq_cycles_per_sample,in_rate,out_rate,wdl_ratio,delay_D,snr_db,peak,frames_generated,frames_expected,is_gate,bar_db,pass
64,128,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,128,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,128,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.275,0.99992,32574,32574,1,110,1
64,128,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,102.194,0.99994,32574,32574,1,110,0
64,128,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,149.726,0.99991,32576,32575,1,110,1
64,128,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,101.808,0.99990,32576,32575,1,110,0
64,128,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.202,0.99970,32575,32574,1,100,1
64,128,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,100.656,0.99991,32575,32574,1,100,1
64,128,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,124.325,0.99999,32576,32575,0,0,1
64,128,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,96.661,0.99995,32576,32575,0,0,1
64,128,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
128,128,48000 -> 48000,0.01111111111,48000,48000,1,0,142.326,1.00000,32512,32512,0,0,1
128,128,48000 -> 48000,0.3511111111,48000,48000,1,0,139.503,1.00000,32512,32512,0,0,1
128,128,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,141.754,0.99991,32510,32510,1,110,1
128,128,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,102.208,0.99996,32510,32510,1,110,0
128,128,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,142.414,0.99991,32512,32511,1,110,1
128,128,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,101.806,0.99992,32512,32511,1,110,0
128,128,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,150.886,0.99972,32510,32510,1,100,1
128,128,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,100.659,0.99993,32510,32510,1,100,1
128,128,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,137.428,0.99997,32511,32511,0,0,1
128,128,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,95.833,0.99995,32511,32511,0,0,1
128,128,96000 -> 48000,0.01111111111,96000,48000,2,0,140.461,1.00000,32512,32512,0,0,1
512,128,48000 -> 48000,0.01111111111,48000,48000,1,0,143.304,1.00000,32128,32128,0,0,1
512,128,48000 -> 48000,0.3511111111,48000,48000,1,0,141.824,0.99998,32128,32128,0,0,1
512,128,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,143.067,0.99990,32126,32126,1,110,1
512,128,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,102.185,0.99992,32126,32126,1,110,0
512,128,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,143.323,0.99990,32128,32127,1,110,1
512,128,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,101.810,0.99989,32128,32127,1,110,0
512,128,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,144.434,0.99983,32126,32126,1,100,1
512,128,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,100.676,0.99997,32126,32126,1,100,1
512,128,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,138.896,0.99999,32127,32127,0,0,1
512,128,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,99.316,0.99985,32127,32127,0,0,1
512,128,96000 -> 48000,0.01111111111,96000,48000,2,0,142.598,1.00000,32128,32128,0,0,1
1024,128,48000 -> 48000,0.01111111111,48000,48000,1,0,144.000,1.00000,31616,31616,0,0,1
1024,128,48000 -> 48000,0.3511111111,48000,48000,1,0,145.069,1.00000,31616,31616,0,0,1
1024,128,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,143.487,0.99989,31614,31614,1,110,1
1024,128,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,102.226,0.99996,31614,31614,1,110,0
1024,128,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,143.849,0.99989,31616,31615,1,110,1
1024,128,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,101.863,0.99997,31616,31615,1,110,0
1024,128,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,144.896,0.99993,31615,31614,1,100,1
1024,128,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,100.697,0.99997,31615,31614,1,100,1
1024,128,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,141.623,0.99998,31616,31615,0,0,1
1024,128,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,99.296,0.99987,31616,31615,0,0,1
1024,128,96000 -> 48000,0.01111111111,96000,48000,2,0,143.626,1.00000,31616,31616,0,0,1
64,32,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,32,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,32,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.252,0.99992,32574,32574,1,110,1
64,32,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,78.524,0.99992,32574,32574,1,110,0
64,32,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,150.208,0.99991,32576,32575,1,110,1
64,32,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,90.056,0.99985,32576,32575,1,110,0
64,32,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.244,0.99970,32575,32574,1,100,1
64,32,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,76.367,0.99990,32575,32574,1,100,0
64,32,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,122.130,0.99999,32576,32575,0,0,1
64,32,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,75.112,0.99988,32576,32575,0,0,1
64,32,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
64,64,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,64,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,64,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.253,0.99992,32574,32574,1,110,1
64,64,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,91.044,0.99993,32574,32574,1,110,0
64,64,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,149.817,0.99991,32576,32575,1,110,1
64,64,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,90.893,0.99988,32576,32575,1,110,0
64,64,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.202,0.99970,32575,32574,1,100,1
64,64,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,88.245,0.99990,32575,32574,1,100,0
64,64,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,123.783,0.99999,32576,32575,0,0,1
64,64,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,86.444,0.99988,32576,32575,0,0,1
64,64,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
64,256,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,256,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,256,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.186,0.99992,32574,32574,1,110,1
64,256,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,114.520,0.99994,32574,32574,1,110,1
64,256,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,150.140,0.99991,32576,32575,1,110,1
64,256,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,113.753,0.99991,32576,32575,1,110,1
64,256,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.218,0.99970,32575,32574,1,100,1
64,256,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,107.519,0.99992,32575,32574,1,100,1
64,256,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,124.469,0.99999,32576,32575,0,0,1
64,256,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,103.656,0.99997,32576,32575,0,0,1
64,256,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
64,512,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,512,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,512,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.243,0.99992,32574,32574,1,110,1
64,512,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,126.302,0.99994,32574,32574,1,110,1
64,512,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,150.259,0.99991,32576,32575,1,110,1
64,512,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,126.089,0.99991,32576,32575,1,110,1
64,512,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.225,0.99970,32575,32574,1,100,1
64,512,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,107.523,0.99993,32575,32574,1,100,1
64,512,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,124.164,0.99999,32576,32575,0,0,1
64,512,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,106.898,0.99998,32576,32575,0,0,1
64,512,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
64,1024,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,1024,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,1024,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.235,0.99992,32574,32574,1,110,1
64,1024,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,138.351,0.99994,32574,32574,1,110,1
64,1024,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,150.396,0.99991,32576,32575,1,110,1
64,1024,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,131.989,0.99991,32576,32575,1,110,1
64,1024,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.248,0.99970,32575,32574,1,100,1
64,1024,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,107.525,0.99993,32575,32574,1,100,1
64,1024,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,124.137,0.99999,32576,32575,0,0,1
64,1024,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,107.915,0.99998,32576,32575,0,0,1
64,1024,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
64,4096,48000 -> 48000,0.01111111111,48000,48000,1,0,149.914,1.00000,32576,32576,0,0,1
64,4096,48000 -> 48000,0.3511111111,48000,48000,1,0,146.873,0.99998,32576,32576,0,0,1
64,4096,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,149.303,0.99992,32574,32574,1,110,1
64,4096,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,146.321,0.99994,32574,32574,1,110,1
64,4096,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,150.162,0.99991,32576,32575,1,110,1
64,4096,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,132.053,0.99991,32576,32575,1,110,1
64,4096,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,122.232,0.99970,32575,32574,1,100,1
64,4096,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,107.524,0.99993,32575,32574,1,100,1
64,4096,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,124.167,0.99999,32576,32575,0,0,1
64,4096,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,108.287,0.99998,32576,32575,0,0,1
64,4096,96000 -> 48000,0.01111111111,96000,48000,2,0,147.887,1.00000,32576,32576,0,0,1
128,1024,48000 -> 48000,0.01111111111,48000,48000,1,0,142.326,1.00000,32512,32512,0,0,1
128,1024,48000 -> 48000,0.3511111111,48000,48000,1,0,139.503,1.00000,32512,32512,0,0,1
128,1024,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,141.957,0.99991,32510,32510,1,110,1
128,1024,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,138.368,0.99996,32510,32510,1,110,1
128,1024,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,142.718,0.99991,32512,32511,1,110,1
128,1024,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,124.791,0.99995,32512,32511,1,110,1
128,1024,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,151.095,0.99972,32510,32510,1,100,1
128,1024,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,104.581,0.99993,32510,32510,1,100,1
128,1024,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,137.453,0.99997,32511,32511,0,0,1
128,1024,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,105.172,0.99998,32511,32511,0,0,1
128,1024,96000 -> 48000,0.01111111111,96000,48000,2,0,140.461,1.00000,32512,32512,0,0,1
128,4096,48000 -> 48000,0.01111111111,48000,48000,1,0,142.326,1.00000,32512,32512,0,0,1
128,4096,48000 -> 48000,0.3511111111,48000,48000,1,0,139.503,1.00000,32512,32512,0,0,1
128,4096,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,141.660,0.99991,32510,32510,1,110,1
128,4096,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,138.700,0.99996,32510,32510,1,110,1
128,4096,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,142.484,0.99991,32512,32511,1,110,1
128,4096,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,134.379,0.99995,32512,32511,1,110,1
128,4096,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,129.371,0.99972,32510,32510,1,100,1
128,4096,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,104.578,0.99993,32510,32510,1,100,1
128,4096,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,137.293,0.99997,32511,32511,0,0,1
128,4096,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,105.469,0.99998,32511,32511,0,0,1
128,4096,96000 -> 48000,0.01111111111,96000,48000,2,0,140.461,1.00000,32512,32512,0,0,1
256,1024,48000 -> 48000,0.01111111111,48000,48000,1,0,147.162,1.00000,32384,32384,0,0,1
256,1024,48000 -> 48000,0.3511111111,48000,48000,1,0,145.620,0.99997,32384,32384,0,0,1
256,1024,48002.4 -> 48000 (+50ppm),0.01111111111,48002.4,48000,1.00005,1,131.438,0.99991,32382,32382,1,110,1
256,1024,48002.4 -> 48000 (+50ppm),0.3511111111,48002.4,48000,1.00005,1,136.940,0.99995,32382,32382,1,110,1
256,1024,47997.6 -> 48000 (-50ppm),0.01111111111,47997.6,48000,0.99995,0,132.348,0.99991,32384,32383,1,110,1
256,1024,47997.6 -> 48000 (-50ppm),0.3511111111,47997.6,48000,0.99995,0,137.937,1.00000,32384,32383,1,110,1
256,1024,44100 -> 48000,0.01111111111,44100,48000,0.91875,1,140.509,0.99976,32382,32382,1,100,1
256,1024,44100 -> 48000,0.3511111111,44100,48000,0.91875,1,125.444,0.99995,32382,32382,1,100,1
256,1024,32000 -> 48000,0.01111111111,32000,48000,0.6666666666666666,0,138.199,1.00000,32384,32383,0,0,1
256,1024,32000 -> 48000,0.3511111111,32000,48000,0.6666666666666666,0,129.901,0.99996,32384,32383,0,0,1
256,1024,96000 -> 48000,0.01111111111,96000,48000,2,0,146.043,1.00000,32384,32384,0,0,1
384,64,48000 -> 48000,0.01111111111,48000,48000,1,0,139.914,1.00000,32256,32256,0,0,1
384,64,48000 -> 48000,0.3511111111,48000,48000,1,0,138.172,0.99989,32256,32256,0,0,1
